feature,importance
release_clause_eur,0.27200155341933446
overall_rating,0.24923442757377626
potential,0.1493920749480947
wage_eur,0.08870695927051508
age,0.07294637565284531
club_rating,0.0702890467525251
club_league_name_Premier League,0.013096812447785822
weight_kg,0.00961526108383857
height_cm,0.008662531376215078
position_group_GK,0.006762121638574927
club_league_name_La Liga,0.006446730548696029
primary_position_GK,0.005688559714954895
club_league_name_League Two,0.005018007952925906
club_league_name_Serie A,0.0037995844483062514
club_league_name_Super League,0.0025873921611355346
club_league_name_Ligue 1,0.0023339003478433096
club_league_name_Premier Division,0.0019719881267564014
position_group_MID,0.001749928638033774
club_league_name_División Profesional,0.0017274004720036031
preferred_foot_Right,0.0016501366611055316
position_group_DEF,0.0016480049009448946
club_league_name_Primeira Liga,0.0015185721158457457
position_group_FWD,0.0015162868158804597
preferred_foot_Left,0.001341709355140001
club_league_name_Bundesliga,0.001215089750559365
